product_id,winsorize,features,RMSE,MAPE,Overfit_Score,method
P1,False,"MAB_ELE_SHP840, PRO27826_org, MAB_ELE_SHP1100",3338891.111441056,0.056773739940536645,,walkforward
P1,False,"MAB_ELE_SHP840, MAB_ELE_PRO276, MAB_ELE_SHP1100",3795438.6001433623,0.07471360034258547,,walkforward
P1,False,"PRI27276_org, PRO27826_org, MAB_ELE_PRO276",4542381.860168255,0.09538055903778433,,walkforward
P1,False,"PRI27276_org, PRO27826_org, MAB_ELE_SHP1100",4599068.838909751,0.09289214834846114,,walkforward
P1,False,"PRI27276_org, MAB_ELE_PRO276, MAB_ELE_SHP1100",4667506.475869313,0.10011912248554725,,walkforward
P1,False,"PRO27826_org, MAB_ELE_PRO276, MAB_ELE_SHP1100",4153340.6461353907,0.07053509008169105,,walkforward
P1,False,"MAB_ELE_SHP840, PRI27276_org, PRO27826_org, MAB_ELE_PRO276",4540301.736890694,0.07479634784635596,,walkforward
P1,False,"MAB_ELE_SHP840, PRI27276_org, PRO27826_org, MAB_ELE_SHP1100",4539284.991830719,0.07118163835823944,,walkforward
P1,False,"MAB_ELE_SHP840, PRI27276_org, MAB_ELE_PRO276, MAB_ELE_SHP1100",4573406.41238172,0.08172313231372245,,walkforward
P1,False,"MAB_ELE_SHP840, PRO27826_org, MAB_ELE_PRO276, MAB_ELE_SHP1100",3838598.4986299733,0.0674319501062857,,walkforward
P1,False,"PRI27276_org, PRO27826_org, MAB_ELE_PRO276, MAB_ELE_SHP1100",4635109.230124455,0.09801641569233481,,walkforward
P1,False,"MAB_ELE_SHP840, PRI27276_org, PRO27826_org, MAB_ELE_PRO276, MAB_ELE_SHP1100",4578066.772321235,0.07864485945636256,,walkforward
P11,True,PRO27826_org,2081312.039857293,1.2031285217480507,,walkforward
P11,True,MAB_ELE_SHP392,1971604.5392242305,1.2909435689376967,,walkforward
P11,True,MAB_ELE_SHP840,1950969.4367649776,1.3526271987600282,,walkforward
P11,True,MAB_ELE_SHP276,1910222.9242023663,1.2774357302241224,,walkforward
P11,True,"PRO27826_org, MAB_ELE_SHP392",2345491.9371019453,1.0797035182124444,,walkforward
P11,True,"PRO27826_org, MAB_ELE_SHP840",2086564.8002138534,1.3976903381217798,,walkforward
P11,True,"PRO27826_org, MAB_ELE_SHP276",2099097.333463464,1.1123570652202939,,walkforward
P11,True,"MAB_ELE_SHP392, MAB_ELE_SHP840",2393639.182376518,2.133310177613423,,walkforward
P11,True,"MAB_ELE_SHP392, MAB_ELE_SHP276",2258454.505029289,1.1664231433279535,,walkforward
P11,True,"MAB_ELE_SHP840, MAB_ELE_SHP276",2015621.3818322662,1.6232650981588919,,walkforward
P11,True,"PRO27826_org, MAB_ELE_SHP392, MAB_ELE_SHP840",2843355.3369326675,2.5560403140985968,,walkforward
