product_id,winsorize,features,RMSE,MAPE,Overfit_Score,method
P14,True,"PRO27392_org, PRO28380_org, PRO27756_org",11295.559347932323,159.9774123646021,-0.2080137318710803,manual
P14,False,"PRO27392_org, PRO28380_org, PRO27756_org",11245.694692846775,162.58643573194217,-0.24369158170789224,manual
P14,True,all,15447.539171026407,172.77869078933134,-0.03488577774005183,auto
P14,True,PRO27392_org,14866.641803110293,150.27572717853255,-0.06112878978509017,auto
P14,True,PRO28380_org,14996.122581812147,163.10832009747597,-0.04554962694605689,auto
P14,True,PRO27756_org,15728.017310646881,195.94213288204435,-0.1096494752248178,auto
P14,True,"PRO27392_org, PRO28380_org",15304.015644633437,167.4931040562625,-0.06076039329353061,auto
P14,True,"PRO27392_org, PRO27756_org",11772.468187243763,105.54663148200589,-0.22318422157336223,auto
P14,True,"PRO28380_org, PRO27756_org",13458.262663215979,151.31098483372233,-0.07407285580383599,auto
P14,True,"PRO27392_org, PRO28380_org, PRO27756_org",12054.497722092585,128.7093686041949,-0.15639461973919797,auto
P14,False,all,15523.744751561058,179.2500743380118,-0.06800709793231335,auto
P14,False,PRO27392_org,14525.019629358783,193.6056310114769,-0.1429080623891837,auto
P14,False,PRO28380_org,14964.155347048916,165.5412548563437,-0.08625403662927839,auto
P14,False,PRO27756_org,15975.205930391516,207.60970733231864,-0.12577965524421955,auto
P14,False,"PRO27392_org, PRO28380_org",15294.713324072172,170.2198833479855,-0.07076822848803503,auto
P14,False,"PRO27392_org, PRO27756_org",11694.279547918255,109.8955264264362,-0.2631985367102191,auto
P14,False,"PRO28380_org, PRO27756_org",13537.55437823724,153.4154940161552,-0.1052763683682817,auto
P14,False,"PRO27392_org, PRO28380_org, PRO27756_org",11868.330438631867,135.79353279856014,-0.20283242231682352,auto
P6,True,"PRO27840_org, PRO27276_org, RohCRUDE_PETRO1000_org",214357.3832068588,83.83615631156778,-0.11198808129582953,manual
P6,False,"PRO27840_org, PRO27276_org, RohCRUDE_PETRO1000_org",212868.676966381,83.16837106965117,-0.12126433859933526,manual
P6,True,all,242786.91751364619,97.35134907091401,-0.19333013471736496,auto
P6,True,PRO27840_org,253293.8129931579,101.83652422994854,-0.6128475099007571,auto
P6,True,PRO27276_org,238208.25393775938,94.80334665227329,-0.3701642944324311,auto
P6,True,RohCRUDE_PETRO1000_org,507976.75829731475,193.22515809142206,0.39922394080330265,auto
P6,True,"PRO27840_org, PRO27276_org",266352.78887777566,106.81660096614769,-0.5780551976672603,auto
P6,True,"PRO27840_org, RohCRUDE_PETRO1000_org",180073.52091210915,68.97883273881811,-0.7250386462487696,auto
P6,True,"PRO27276_org, RohCRUDE_PETRO1000_org",194663.43621660795,76.95396991495802,-0.4772595823741426,auto
P6,True,"PRO27840_org, PRO27276_org, RohCRUDE_PETRO1000_org",214633.4243994768,83.95324808057376,-0.6578348828834097,auto
P6,False,all,242409.92917774766,97.19540447554616,-0.19740982600206733,auto
P6,False,PRO27840_org,252557.30018409883,101.54015942368986,-0.6136845416935666,auto
P6,False,PRO27276_org,237494.73272871037,94.51771583525118,-0.3749979038042215,auto
P6,False,RohCRUDE_PETRO1000_org,506910.50349064684,192.8114848740033,0.38943393322798636,auto
P6,False,"PRO27840_org, PRO27276_org",265586.76871348836,106.50788074313253,-0.5788147614302855,auto
P6,False,"PRO27840_org, RohCRUDE_PETRO1000_org",178899.41844506835,68.4155463664634,-0.7266734239985821,auto
P6,False,"PRO27276_org, RohCRUDE_PETRO1000_org",193113.6110808387,76.30324174744221,-0.4842860565783835,auto
P6,False,"PRO27840_org, PRO27276_org, RohCRUDE_PETRO1000_org",213158.97880987346,83.29189951041428,-0.6598823006229406,auto
Sales_CPI,True,all,9733090.310106246,11.653208097146607,-0.24238425479084452,auto
Sales_CPI,True,MAB_ELE_SHP840,5985553.5409339545,7.038063426613701,-0.28896386464016105,auto
Sales_CPI,True,PRI27276_org,5963303.362075911,5.646004902635671,-0.9304003657403914,auto
Sales_CPI,True,PRO271000_org,3750154.7172632,4.853535976026102,-0.6473794201837645,auto
Sales_CPI,True,PRO27826_org,7374555.443702642,8.93856290037308,-0.3470446636505727,auto
Sales_CPI,True,"MAB_ELE_SHP840, PRI27276_org",5810355.151408411,6.834389230942987,-0.5467188698923713,auto
Sales_CPI,True,"MAB_ELE_SHP840, PRO271000_org",6478877.2531560175,7.567975438581433,-0.25505096861330656,auto
Sales_CPI,True,"MAB_ELE_SHP840, PRO27826_org",4872143.849865996,5.933270812531697,-0.4214621931213379,auto
Sales_CPI,True,"PRI27276_org, PRO271000_org",4111639.264482682,4.861974218086048,-0.898373912839171,auto
Sales_CPI,True,"PRI27276_org, PRO27826_org",6015255.540687158,7.184338942268012,-0.8989636370749842,auto
Sales_CPI,True,"PRO271000_org, PRO27826_org",4982175.098257704,5.9296868592006815,-0.5411413521929397,auto
Sales_CPI,True,"MAB_ELE_SHP840, PRI27276_org, PRO271000_org",6291448.079496381,7.342157852414152,-0.44610434365995494,auto
Sales_CPI,True,"MAB_ELE_SHP840, PRI27276_org, PRO27826_org",4940611.721649513,6.032023604709307,-0.6039177078483621,auto
Sales_CPI,True,"MAB_ELE_SHP840, PRO271000_org, PRO27826_org",6219423.080744553,7.735193802997628,-0.2773291234177475,auto
Sales_CPI,True,"PRI27276_org, PRO271000_org, PRO27826_org",5312310.1054943595,6.339835306369217,-0.900296501783506,auto
Sales_CPI,True,"MAB_ELE_SHP840, PRI27276_org, PRO271000_org, PRO27826_org",6098535.527124432,7.548281294304517,-0.7271072816902072,auto
Sales_CPI,False,all,10210508.47522859,11.927959158795623,-0.2071502799267216,auto
Sales_CPI,False,MAB_ELE_SHP840,5900721.741418407,6.704171805675306,-0.32953245646238244,auto
Sales_CPI,False,PRI27276_org,6502990.45605754,5.920072658021972,-0.9248180877751679,auto
Sales_CPI,False,PRO271000_org,4038291.741848527,5.162954416364304,-0.6241744581890087,auto
Sales_CPI,False,PRO27826_org,7529188.955156832,9.269437536400075,-0.34011782582093064,auto
Sales_CPI,False,"MAB_ELE_SHP840, PRI27276_org",5768946.81076264,6.537132346591186,-0.5518309747624344,auto
Sales_CPI,False,"MAB_ELE_SHP840, PRO271000_org",6457456.50927246,7.313669219575717,-0.26673417783049175,auto
Sales_CPI,False,"MAB_ELE_SHP840, PRO27826_org",4844536.740500629,5.634327471171484,-0.4328187646880171,auto
Sales_CPI,False,"PRI27276_org, PRO271000_org",4569398.393892232,5.168071834147354,-0.8901421016894698,auto
Sales_CPI,False,"PRI27276_org, PRO27826_org",6362766.521281657,7.49492001527756,-0.8950710649095895,auto
Sales_CPI,False,"PRO271000_org, PRO27826_org",5209976.742866747,6.259078859914327,-0.523784167821732,auto
Sales_CPI,False,"MAB_ELE_SHP840, PRI27276_org, PRO271000_org",6299846.3176087625,7.0997484347506195,-0.46356282887792194,auto
Sales_CPI,False,"MAB_ELE_SHP840, PRI27276_org, PRO27826_org",4914658.937128526,5.753662556917925,-0.6084795653036683,auto
Sales_CPI,False,"MAB_ELE_SHP840, PRO271000_org, PRO27826_org",6177199.21126081,7.481198543645102,-0.2909811502196602,auto
Sales_CPI,False,"PRI27276_org, PRO271000_org, PRO27826_org",5681274.362582208,6.65725319443203,-0.8949858514954729,auto
Sales_CPI,False,"MAB_ELE_SHP840, PRI27276_org, PRO271000_org, PRO27826_org",6081241.762662836,7.306044567426992,-0.7300110772918418,auto
P9,True,"PRO27826_org, PRO271000_org, PRO28250_org, MAB_ELE_PRO156",7697.408409576255,366.30950043324,0.12620158520477506,manual
P9,False,"PRO27826_org, PRO271000_org, PRO28250_org, MAB_ELE_PRO156",7966.044931125519,408.3628825815433,0.10216698557018608,manual
P9,True,all,6538.494445990104,261.11962708398147,-0.11354689661022475,auto
P9,True,PRO27826_org,6946.2074815849855,324.0365120202171,0.01188145940520004,auto
P9,True,PRO271000_org,6515.665111949775,300.7033930777084,-0.0456055912770874,auto
P9,True,PRO28250_org,6245.8285290867525,271.28852105012277,-0.1255835768092469,auto
P9,True,MAB_ELE_PRO156,6314.868690691465,316.49122798274993,-0.05485296262965519,auto
P9,True,"PRO27826_org, PRO271000_org",7389.881628649928,339.52449126935005,0.07125747696441284,auto
P9,True,"PRO27826_org, PRO28250_org",7321.798611893445,349.9028708562879,0.05019387391797743,auto
P9,True,"PRO27826_org, MAB_ELE_PRO156",6494.392746898978,324.9329936656224,-0.03629763364237126,auto
P9,True,"PRO271000_org, PRO28250_org",6789.953354849629,295.7143531668159,-0.003909609246499383,auto
P9,True,"PRO271000_org, MAB_ELE_PRO156",6631.68690167034,320.2814252284689,-0.018176792059025233,auto
P9,True,"PRO28250_org, MAB_ELE_PRO156",5540.809114462382,262.78131328732627,-0.18160810619454584,auto
P9,True,"PRO27826_org, PRO271000_org, PRO28250_org",6086.407095629267,258.2783600496215,-0.12135950405476255,auto
P9,True,"PRO27826_org, PRO271000_org, MAB_ELE_PRO156",5994.757745693091,281.02031744113026,-0.10470821477420027,auto
P9,True,"PRO27826_org, PRO28250_org, MAB_ELE_PRO156",6553.26214092042,292.9267428824386,-0.022548948607290648,auto
P9,True,"PRO271000_org, PRO28250_org, MAB_ELE_PRO156",6243.17389328443,267.54400759504466,-0.07821890985953808,auto
P9,True,"PRO27826_org, PRO271000_org, PRO28250_org, MAB_ELE_PRO156",5487.0260136244115,288.75177666412395,-0.1833337397477889,auto
P9,False,all,6663.396614095475,287.46364561288425,-0.14186347131569205,auto
P9,False,PRO27826_org,7480.94918785969,370.3284761979726,0.03430434593203622,auto
P9,False,PRO271000_org,7054.61496215051,332.97839798677614,-0.019153784104968517,auto
P9,False,PRO28250_org,6585.39571444314,305.9950660526025,-0.12459194685170724,auto
P9,False,MAB_ELE_PRO156,6148.525874448427,302.2597429114564,-0.14238527091366696,auto
P9,False,"PRO27826_org, PRO271000_org",7691.851225948333,380.3341349478944,0.06969233664188997,auto
P9,False,"PRO27826_org, PRO28250_org",8059.795665700322,408.10723439407957,0.11414298600046845,auto
P9,False,"PRO27826_org, MAB_ELE_PRO156",6894.949994698864,322.4313765397298,-0.03128814389609965,auto
P9,False,"PRO271000_org, PRO28250_org",7852.754096364674,377.9580946979165,0.09279569550233177,auto
P9,False,"PRO271000_org, MAB_ELE_PRO156",6522.351625451754,323.98523715842373,-0.10213823999913126,auto
P9,False,"PRO28250_org, MAB_ELE_PRO156",6614.6802792328335,342.80726044377616,-0.07532215169592167,auto
P9,False,"PRO27826_org, PRO271000_org, PRO28250_org",6646.337265242355,344.81838547582765,-0.08499408214987807,auto
P9,False,"PRO27826_org, PRO271000_org, MAB_ELE_PRO156",6870.42550148819,324.72721676866206,-0.035264365077536164,auto
P9,False,"PRO27826_org, PRO28250_org, MAB_ELE_PRO156",7157.232821269448,325.9942960221008,0.004701802964830412,auto
P9,False,"PRO271000_org, PRO28250_org, MAB_ELE_PRO156",6051.442705533575,306.678372553235,-0.15656199839375848,auto
P9,False,"PRO27826_org, PRO271000_org, PRO28250_org, MAB_ELE_PRO156",5976.019905782533,310.58083350926836,-0.16952991491097205,auto
P13,True,"MAB_ELE_PRO756, PRO27756_org, MAB_ELE_PRO276, PRI27840_org",18125.11712186282,65.83273978145671,0.07411679232737545,manual
P13,False,"MAB_ELE_PRO756, PRO27756_org, MAB_ELE_PRO276, PRI27840_org",17515.11186538892,63.910700949435885,0.04175746675959302,manual
P13,True,"MAB_ELE_PRO756, PRO27756_org, MAB_ELE_PRO276, PRI27840_org",17752.478756746248,66.24229222699546,0.22183053963215554,manual
P13,False,"MAB_ELE_PRO756, PRO27756_org, MAB_ELE_PRO276, PRI27840_org",17772.825317547777,66.2598185116737,0.2198000038676697,manual
P13,True,PRO27756_org,10352.7443579788,44.00311838190687,-0.29993994769170734,auto
P13,True,MAB_ELE_PRO276,12451.826703101873,43.77072411998486,-0.17250381666295275,auto
P13,True,"MAB_ELE_PRO756, PRO27756_org",11576.459386151239,45.05272132567387,-0.22479596033646912,auto
P13,True,"MAB_ELE_PRO756, MAB_ELE_PRO276",11643.671246448846,47.39917064687034,-0.216555253969734,auto
P13,True,"PRO27756_org, MAB_ELE_PRO276",11500.721422729468,46.184718093800576,-0.21506274995689428,auto
P13,True,"PRO27756_org, PRI27840_org",12659.85675864605,59.90285030593554,-0.12885957949532237,auto
P13,True,"MAB_ELE_PRO276, PRI27840_org",15072.026810054971,47.05849936060949,0.0018323086878399093,auto
P13,True,"MAB_ELE_PRO756, PRO27756_org, MAB_ELE_PRO276",11118.648893735466,47.495924916545626,-0.2599963109815957,auto
P13,True,"MAB_ELE_PRO756, PRO27756_org, PRI27840_org",11837.7004028054,55.120449259881944,-0.28212153193867134,auto
P13,True,"MAB_ELE_PRO756, MAB_ELE_PRO276, PRI27840_org",13102.168542657224,51.088390254039226,-0.1276713840433659,auto
P13,True,"PRO27756_org, MAB_ELE_PRO276, PRI27840_org",15880.063751778249,72.5735091216076,0.13976920376922222,auto
P13,True,"MAB_ELE_PRO756, PRO27756_org, MAB_ELE_PRO276, PRI27840_org",17279.80779693436,73.19788926572512,0.16907248595622576,auto
P13,False,PRO27756_org,10364.659370353467,43.448144857344275,-0.30611521665571173,auto
P13,False,MAB_ELE_PRO276,12482.14584342515,44.76182126319942,-0.17474468749080843,auto
P13,False,"MAB_ELE_PRO756, PRO27756_org",11435.461189644551,47.24194886433898,-0.2626890019393466,auto
P13,False,"MAB_ELE_PRO756, MAB_ELE_PRO276",10783.042745434937,44.86031133972564,-0.27112433529167335,auto
P13,False,"PRO27756_org, MAB_ELE_PRO276",11257.799722261325,44.215899157656075,-0.24222686962325657,auto
P13,False,"PRO27756_org, PRI27840_org",12804.382259224072,62.15825477657086,-0.1249511589438524,auto
P13,False,"MAB_ELE_PRO276, PRI27840_org",14621.74298879914,46.16563819225834,-0.010034880501682886,auto
P13,False,"MAB_ELE_PRO756, PRO27756_org, MAB_ELE_PRO276",10944.102959960428,45.53025397245102,-0.2765859636971517,auto
P13,False,"MAB_ELE_PRO756, PRO27756_org, PRI27840_org",13231.717255293295,66.1194809479479,-0.19624253268410186,auto
P13,False,"MAB_ELE_PRO756, MAB_ELE_PRO276, PRI27840_org",13128.314939782518,51.8832422791856,-0.102895033069861,auto
P13,False,"PRO27756_org, MAB_ELE_PRO276, PRI27840_org",16070.934976929972,72.17629526934824,0.08182682776330226,auto
P13,False,"MAB_ELE_PRO756, PRO27756_org, MAB_ELE_PRO276, PRI27840_org",17406.801166654037,72.98048749776608,0.17353433982515476,auto
P8,True,"PRI27840_org, RohCOPPER1000_org",551947.9763436405,65.1813542437475,-0.6003860937749764,manual
P8,False,"PRI27840_org, RohCOPPER1000_org",688291.374646522,76.93831722973019,-0.5756051455215073,manual
P8,True,"PRI27840_org, RohCOPPER1000_org",443182.5550752368,39.8470127061896,0.680064010638094,manual
P8,False,"PRI27840_org, RohCOPPER1000_org",678100.86668361,42.397669953183915,1.4206422474267686,manual
P8,True,all,429521.7828605173,50.64955429998433,0.34154958029542765,auto
